Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,On_Track,Months,SIR_2015,Notes
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,4,3.03,27418,1.32,0.42,3.19,Same,No,12,0.74,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,1.75,44830,2.29,0.73,5.53,Same,No,12,2.19,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000184,Fairmont Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.15,7704,,,,,,11,,"Incomplete Reporter, interpret with caution"
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,3,5.47,86355,0.55,0.14,1.49,Same,Yes,12,0.45,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",3,3.80,54085,0.79,0.20,2.15,Same,No,12,0.58,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.33,17190,0.00,0.00,11.29,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",0,1.21,33731,0.00,0.00,2.47,Same,Yes,12,,
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",0,0.62,19561,0.00,0.00,5.98,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.47,11113,0.00,0.00,7.77,Same,Yes,12,2.00,¥ See Data Dictionary
2019,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",4,1.92,57662,2.08,0.66,5.02,Same,No,12,0.50,
2019,California,Amador,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.23,9793,4.32,0.11,24.07,Same,No,12,0.00,¥ See Data Dictionary
2019,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.03,1226,,,,,,12,,
2019,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",4,4.07,87346,0.98,0.31,2.37,Same,No,12,,
2019,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,2.42,49560,0.00,0.00,1.24,Same,Yes,12,1.15,
2019,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.13,6609,,,,,,12,,
2019,California,Calaveras,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Critical Access Hospital,Critical Access,0,0.06,3031,,,,,,12,,
2019,California,Colusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.13,5416,,,,,,12,,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.00,33086,1.00,0.05,4.92,Same,No,12,0.65,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,3,7.73,96669,0.39,0.10,1.06,Same,Yes,12,,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.14,7322,,,,,,12,,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",0,2.80,63494,0.00,0.00,1.07,Same,Yes,12,0.32,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,0,0.60,14749,0.00,0.00,6.12,Same,Yes,12,,¥ See Data Dictionary
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,0,2.67,41613,0.00,0.00,1.12,Same,Yes,12,0.00,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,3,2.95,55025,1.02,0.26,2.77,Same,No,12,,
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0.56,18492,1.78,0.05,9.94,Same,No,12,0.00,¥ See Data Dictionary
2019,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,"Community, 125-250 Beds",0,0.85,31661,0.00,0.00,4.33,Same,Yes,12,1.09,¥ See Data Dictionary
2019,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.35,7755,0.00,0.00,10.54,Same,Yes,12,,¥ See Data Dictionary
2019,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2549,,,,,,12,,
2019,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.20,5917,,,,,,10,0.00,"Incomplete Reporter, interpret with caution"
2019,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",2,0.75,20882,2.67,0.32,9.65,Same,No,12,2.12,¥ See Data Dictionary
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,0,2.70,74264,0.00,0.00,1.11,Same,Yes,12,0.43,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,15,13.29,189996,1.13,0.66,1.82,Same,No,12,1.36,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.18,9307,,,,,,12,,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Acute Care Hospital,"Community, <125 Beds",0,0.09,4654,,,,,,12,,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Acute Care Hospital,"Community, <125 Beds",0,0.13,6475,,,,,,12,,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Acute Care Hospital,"Community, >250 Beds",4,7.25,109306,0.55,0.18,1.33,Same,Yes,12,1.47,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.04,3537,,,,,,12,,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.34,17913,0.00,0.00,10.83,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",1,1.51,37785,0.66,0.03,3.27,Same,No,12,2.83,
2019,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.44,10961,0.00,0.00,8.34,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Glenn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Critical Access Hospital,Critical Access,0,0.15,7124,,,,,,12,,
2019,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.21,9704,0.00,0.00,17.56,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Redwood Memorial Hospital,Critical Access Hospital,Critical Access,0,0.10,4985,,,,,,12,,
2019,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,1,0.03,1459,,,,,,12,,
2019,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,"St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,1,2.88,35252,0.35,0.02,1.72,Same,Yes,12,3.72,
2019,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.05,2812,,,,,,12,,
2019,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000040,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.93,25691,0.00,0.00,3.98,Same,Yes,12,1.08,¥ See Data Dictionary
2019,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000146,Pioneers Memorial Healthcare District,Acute Care Hospital,"Community, <125 Beds",0,0.68,19984,0.00,0.00,5.41,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037,Northern Inyo Hospital,Critical Access Hospital,Critical Access,0,0.08,3883,,,,,,12,,
2019,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102,Southern Inyo Hospital,Critical Access Hospital,Critical Access,,,,,,,,,,,"Incomplete Reporter, interpret with caution"
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",0,0.13,5274,,,,,,12,0.00,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Delano Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.35,9148,0.00,0.00,10.57,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",2,4.68,73556,0.43,0.07,1.41,Same,Yes,12,0.63,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Acute Care Hospital,Major Teaching,6,2.24,45076,2.68,1.09,5.57,Worse,No,12,0.99,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,0,0.05,2570,,,,,,12,,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.81,19392,0.00,0.00,4.56,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,1,0.15,7333,,,,,,12,,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,Adventist Health Bakersfield,Acute Care Hospital,Major Teaching,2,4.47,71242,0.45,0.08,1.48,Same,Yes,12,,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Tehachapi Valley,Critical Access Hospital,Critical Access,0,0.08,3884,,,,,,12,,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.44,23264,0.00,0.00,8.34,Same,Yes,12,,¥ See Data Dictionary
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",2,1.15,26975,1.74,0.29,5.74,Same,No,12,0.00,
2019,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.59,12264,0.00,0.00,6.24,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Kings,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960,Adventist Health Hanford,Acute Care Hospital,"Community, 125-250 Beds",2,1.43,44145,1.40,0.23,4.61,Same,No,12,,
2019,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,0,0.16,7509,,,,,,12,,
2019,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.13,6041,,,,,,12,,
2019,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,0,0.09,4211,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000027,LAC/Harbor UCLA Medical Center,Acute Care Hospital,Major Teaching,5,6.37,91269,0.78,0.29,1.74,Same,No,12,0.67,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.79,18717,0.00,0.00,4.67,Same,Yes,12,0.63,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.47,24671,0.00,0.00,7.86,Same,Yes,12,2.13,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000035,Martin Luther King Jr. Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,1.14,39428,0.88,0.04,4.32,Same,No,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000038,LAC/Olive View UCLA Medical Center,Acute Care Hospital,Major Teaching,1,2.66,49938,0.38,0.02,1.85,Same,Yes,12,1.73,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000040,LAC+USC Medical Center,Acute Care Hospital,Major Teaching,12,15.53,174952,0.77,0.42,1.31,Same,No,12,1.92,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,1,4.89,76277,0.21,0.01,1.01,Same,Yes,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,12,19.92,285844,0.60,0.33,1.02,Same,No,12,0.93,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.76,19358,1.31,0.03,7.30,Same,No,12,1.21,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,"Alhambra Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3373,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008,Antelope Valley Hospital,Acute Care Hospital,Major Teaching,2,4.17,86436,0.48,0.08,1.58,Same,Yes,12,0.95,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012,Beverly Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,2.08,38886,0.00,0.00,1.44,Same,Yes,12,2.54,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013,Catalina Island Medical Center,Critical Access Hospital,Critical Access,0,0.01,330,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014,Barlow Respiratory Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,7,5.07,27784,1.38,0.60,2.73,Same,No,12,0.24,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,Southern California Hospital at Culver City,Acute Care Hospital,"Community, >250 Beds",2,1.38,38036,1.45,0.24,4.78,Same,No,12,2.69,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000015,"Southern California Hospital at Culver City, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.10,5341,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.51,26662,0.00,0.00,7.28,Same,Yes,12,0.00,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.10,4637,,,,,,12,0.00,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Acute Care Hospital,"Community, >250 Beds",5,2.77,62764,1.80,0.66,4.00,Same,No,12,0.70,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,"Centinela Hospital Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3419,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,Huntington Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",1,5.50,110889,0.18,0.01,0.90,Better,Yes,12,0.51,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026,"Huntington Memorial Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.08,4273,,,,,,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000027,Mission Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,2.18,44027,0.00,0.00,1.38,Same,Yes,12,0.88,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000028,West Hills Hospital & Medical Center,Acute Care Hospital,"Community, >250 Beds",3,1.69,42824,1.77,0.45,4.83,Same,No,12,0.00,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031,California Rehabilitation Institute,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.84,44228,0.00,0.00,4.39,Same,Yes,12,,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033,Kindred Hospital Paramount,Long-Term Acute Care Hospital,Long-Term Acute Care,13,3.92,31680,3.31,1.84,5.52,Worse,No,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,0,6.06,122091,0.00,0.00,0.49,Better,Yes,12,0.49,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000035,L.A. Downtown Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.57,12897,0.00,0.00,6.47,Same,Yes,12,,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,7.67,74365,0.91,0.40,1.81,Same,No,12,0.82,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038,Coast Plaza Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.43,10305,2.31,0.06,12.85,Same,No,12,0.00,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000039,"Kindred Hospital, South Bay",Long-Term Acute Care Hospital,Long-Term Acute Care,7,2.12,17570,3.30,1.44,6.53,Worse,No,12,,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040,Community Hospital of Huntington Park,Acute Care Hospital,"Community, <125 Beds",0,0.32,14582,0.00,0.00,11.65,Same,Yes,12,3.67,¥ See Data Dictionary
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041,San Gabriel Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,2.12,43263,0.00,0.00,1.41,Same,Yes,12,0.46,
2019,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000042,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care Hospital,Long-Term Acute Care,4,2.27,18170,1.76,0.56,4.26,Same,No,12,2.47,
