Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,On_Track,Months,Notes
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000124,Mercy General Hospital,Sacramento,Acute Care Hospital,Community (>250 Beds),3,3.810,60668,0.79,0.20,2.15,Same,0.46,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000124,"Mercy General Hospital, Rehabilitation Unit",Sacramento,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.120,6084,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000125,Emanuel Medical Center,Stanislaus,Acute Care Hospital,Community (125-250 Beds),1,1.090,37758,0.92,0.05,4.54,Same,0.66,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000127,Mercy San Juan Medical Center,Sacramento,Acute Care Hospital,Major Teaching,4,6.240,94885,0.64,0.20,1.55,Same,0.12,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000129,Central Valley Specialty Hospital,Stanislaus,Long-term Acute Care Hospital,LTAC,2,2.920,27458,0.69,0.12,2.27,Same,0,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000130,"Kaiser Foundation Hospital, Sacramento",Sacramento,Acute Care Hospital,Community (>250 Beds),1,1.770,50394,0.57,0.03,2.79,Same,0.38,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000131,Oak Valley Hospital District,Stanislaus,Acute Care Hospital,Community (<125 Beds),0,0.070,3283,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000133,"Kaiser Foundation Hospital, South Sacramento",Sacramento,Acute Care Hospital,Community (125-250 Beds),2,2.290,58450,0.87,0.15,2.89,Same,1.45,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000134,Sutter Roseville Medical Center,Placer,Acute Care Hospital,Community (>250 Beds),4,3.530,79988,1.13,0.36,2.73,Same,1.01,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000134,"Sutter Roseville Medical Center, Rehabilitation Unit",Placer,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.270,14070,0.00,0.00,13.79,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000135,San Joaquin General Hospital,San Joaquin,Acute Care Hospital,Community (125-250 Beds),4,2.760,49725,1.45,0.46,3.49,Same,1.54,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000139,Adventist Health Lodi Memorial,San Joaquin,Acute Care Hospital,Community (125-250 Beds),1,1.460,34518,0.68,0.03,3.37,Same,0.66,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000139,"Adventist Health Lodi Memorial, Rehabilitation Unit",San Joaquin,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.040,1871,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000141,Sutter Tracy Community Hospital,San Joaquin,Acute Care Hospital,Community (<125 Beds),0,0.430,13343,0.00,0.00,8.53,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000143,St. Joseph's Medical Center Of Stockton,San Joaquin,Acute Care Hospital,Community (>250 Beds),2,4.400,88722,0.45,0.08,1.50,Same,1.01,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000146,Woodland Memorial Hospital,Yolo,Acute Care Hospital,Community (<125 Beds),1,0.520,11972,1.94,0.05,10.80,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000149,Sutter Davis Hospital,Yolo,Acute Care Hospital,Community (<125 Beds),1,0.350,13849,2.88,0.07,16.04,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000151,"Sutter Medical Center, Sacramento",Sacramento,Acute Care Hospital,Community (>250 Beds),16,5.910,149885,2.71,1.60,4.30,Worse,0.69,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000901,Mercy Hospital of Folsom,Sacramento,Acute Care Hospital,Community (<125 Beds),0,0.750,24400,0.00,0.00,4.91,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000907,Vibra Hospital of Sacramento,Sacramento,Long-term Acute Care Hospital,LTAC,2,2.550,15651,0.78,0.13,2.59,Same,1.29,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000973,"Kaiser Foundation Hospital, Manteca",San Joaquin,Acute Care Hospital,Community (<125 Beds),0,0.130,5899,,,,,2.28,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030001370,"Kaiser Foundation Hospital, Roseville",Placer,Acute Care Hospital,Major Teaching,0,4.590,96179,0.00,0.00,0.65,Same,0,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030001506,Shriners Hospitals for Children Northern California,Sacramento,Acute Care Hospital,Pediatric,0,0.230,8189,0.00,0.00,16.35,Same,,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030001661,Stanislaus Surgical Hospital,Stanislaus,Acute Care Hospital,Community (<125 Beds),0,0.020,956,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030001799,Adventist Health Sonora,Tuolumne,Acute Care Hospital,Community (<125 Beds),0,0.500,18762,0.00,0.00,7.36,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Community (125-250 Beds),2,2.760,73281,0.73,0.12,2.40,Same,0.43,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000096,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.010,375,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,16,18.550,200539,0.86,0.51,1.37,Same,1.36,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.170,8933,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000105,John C. Fremont Healthcare District,Mariposa,Critical Access Hospital,Critical Access,0,0.080,3682,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000110,Memorial Hospital Los Banos,Merced,Acute Care Hospital,Community (<125 Beds),0,0.120,5495,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000111,Madera Community Hospital,Madera,Acute Care Hospital,Community (<125 Beds),0,0.370,16844,0.00,0.00,9.87,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000113,Mercy Medical Center,Merced,Acute Care Hospital,Community (125-250 Beds),1,1.990,51333,0.50,0.03,2.48,Same,0.55,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.130,5964,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.140,6478,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Community (>250 Beds),7,6.190,103923,1.13,0.49,2.24,Same,1.47,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000129,Valley Children's Hospital,Madera,Acute Care Hospital,Pediatric,1,2.780,77562,0.36,0.02,1.77,Same,1.63,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),0,0.050,3167,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.340,17826,0.00,0.00,10.88,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,Community (125-250 Beds),1,1.340,33657,0.75,0.04,3.69,Same,2.83,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Community (<125 Beds),1,0.370,11660,2.69,0.07,14.96,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000009,"Marian Regional Medical Center, Arroyo Grande",San Luis Obispo,Acute Care Hospital,Community (<125 Beds),0,0.330,8117,0.00,0.00,11.14,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000009,"Marian Regional Medical Center, Arroyo Grande, Rehabilitation Unit",San Luis Obispo,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.110,5925,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000014,"Community Memorial Hospital, San Buenaventura",Ventura,Acute Care Hospital,Major Teaching,2,2.300,63257,0.87,0.15,2.87,Same,1.07,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000016,French Hospital Medical Center,San Luis Obispo,Acute Care Hospital,Community (<125 Beds),1,0.800,17977,1.25,0.03,6.96,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000017,Goleta Valley Cottage Hospital,Santa Barbara,Acute Care Hospital,Community (<125 Beds),0,0.120,3695,,,,,0,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000018,Lompoc Valley Medical Center,Santa Barbara,Acute Care Hospital,Community (<125 Beds),0,0.180,8125,,,,,4.7,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000020,Los Robles Hospital & Medical Center,Ventura,Acute Care Hospital,Community (>250 Beds),1,3.260,71482,0.31,0.02,1.51,Same,1.41,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000021,Marian Regional Medical Center,Santa Barbara,Acute Care Hospital,Community (125-250 Beds),2,2.450,52636,0.82,0.14,2.70,Same,0.41,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000023,Ojai Valley Community Hospital,Ventura,Critical Access Hospital,Critical Access,0,0.030,1568,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000026,St Johns Pleasant Valley Hospital,Ventura,Acute Care Hospital,Community (<125 Beds),2,0.930,13971,2.15,0.26,7.75,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000030,Santa Ynez Valley Cottage Hospital,Santa Barbara,Critical Access Hospital,Critical Access,0,0.020,776,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000031,Sierra Vista Regional Medical Center,San Luis Obispo,Acute Care Hospital,Community (125-250 Beds),1,0.890,23594,1.13,0.03,6.28,Same,0,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000035,St Johns Regional Medical Center,Ventura,Acute Care Hospital,Community (125-250 Beds),3,2.780,47898,1.08,0.28,2.94,Same,1.3,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000035,"St Johns Regional Medical Center, Rehabilitation Unit",Ventura,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.120,6124,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000037,Twin Cities Community Hospital,San Luis Obispo,Acute Care Hospital,Community (<125 Beds),0,0.730,16849,0.00,0.00,5.07,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000039,Ventura County Medical Center,Ventura,Acute Care Hospital,Community (125-250 Beds),1,1.740,43743,0.58,0.03,2.84,Same,0.35,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000280,Santa Barbara Cottage Hospital,Santa Barbara,Acute Care Hospital,Community (>250 Beds),1,3.710,84623,0.27,0.01,1.33,Same,0.21,Yes,12,† See data dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000280,"Santa Barbara Cottage Hospital, Rehabilitation Unit",Santa Barbara,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.170,8882,,,,,,,12,† See data dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000455,Adventist Health Simi Valley,Ventura,Acute Care Hospital,Community (125-250 Beds),1,1.040,29122,0.96,0.05,4.75,Same,0.78,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000553,"Los Robles Hospital & Medical Center, East Campus",Ventura,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.060,3144,,,,,0,,6,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050000553,"Los Robles Hospital & Medical Center, East Campus, Rehabilitation Unit",Ventura,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.060,3278,,,,,,,6,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),050001468,Thousand Oaks Surgical Hospital,Ventura,Acute Care Hospital,Community (<125 Beds),0,0.030,2003,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000002,AHMC Anaheim Regional Medical Center,Orange,Acute Care Hospital,Community (125-250 Beds),2,2.390,46506,0.84,0.14,2.76,Same,0,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000006,Chapman Global Medical Center,Orange,Acute Care Hospital,Community (<125 Beds),0,0.220,5438,0.00,0.00,16.84,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000007,Children's Hospital of Orange County,Orange,Acute Care Hospital,Pediatric,0,2.010,62946,0.00,0.00,1.49,Same,0,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000008,College Hospital Costa Mesa,Orange,Acute Care Hospital,Community (<125 Beds),0,0.870,37243,0.00,0.00,4.23,Same,1.04,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000011,Fountain Valley Regional Hospital and Medical Center,Orange,Acute Care Hospital,Community (>250 Beds),3,4.630,88854,0.65,0.17,1.76,Same,1.41,Yes,12,† See data dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000013,Foothill Regional Medical Center,Orange,Acute Care Hospital,Community (<125 Beds),5,0.310,10250,16.29,5.29,38.02,Worse,,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000014,Hoag Memorial Hospital Presbyterian,Orange,Acute Care Hospital,Community (>250 Beds),3,5.360,121416,0.56,0.14,1.52,Same,0.42,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000015,Huntington Beach Hospital,Orange,Acute Care Hospital,Community (<125 Beds),1,0.280,10238,3.52,0.09,19.61,Same,1.79,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000016,West Anaheim Medical Center,Orange,Acute Care Hospital,Major Teaching,3,1.630,24406,1.84,0.47,5.00,Same,1.87,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000017,"Kindred Hospital, Westminster",Orange,Long-term Acute Care Hospital,LTAC,22,4.120,32016,5.34,3.43,7.95,Worse,2.71,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000021,South Coast Global Medical Center,Orange,Acute Care Hospital,Community (125-250 Beds),0,0.730,14273,0.00,0.00,5.07,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000024,La Palma Intercommunity Hospital,Orange,Acute Care Hospital,Community (125-250 Beds),0,0.600,16049,0.00,0.00,6.12,Same,2.43,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000025,Los Alamitos Medical Center,Orange,Acute Care Hospital,Community (125-250 Beds),7,1.990,46549,3.52,1.54,6.96,Worse,1.07,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000027,LAC/Harbor UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,6,9.720,94328,0.62,0.25,1.28,Same,0.67,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Los Angeles,Acute Care Hospital,Community (125-250 Beds),0,0.970,23007,0.00,0.00,3.80,Same,0.63,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.380,19929,0.00,0.00,9.74,Same,2.13,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000035,Martin Luther King Jr. Community Hospital,Los Angeles,Acute Care Hospital,Community (125-250 Beds),2,1.000,36293,1.99,0.33,6.59,Same,,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000038,LAC/Olive View UCLA Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,5,3.530,51244,1.42,0.52,3.14,Same,1.73,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000040,LAC+USC Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,12,14.060,153514,0.85,0.46,1.45,Same,1.92,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000058,Garden Grove Hospital and Medical Center,Orange,Acute Care Hospital,Community (125-250 Beds),2,0.710,20061,2.82,0.34,10.18,Same,3.26,No,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000060,Mission Hospital Regional Medical Center,Orange,Acute Care Hospital,Community (>250 Beds),3,2.510,63871,1.20,0.30,3.25,Same,0.69,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000060,"Mission Hospital Regional Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.100,5027,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000062,Placentia Linda Hospital,Orange,Acute Care Hospital,Community (<125 Beds),0,0.530,14856,0.00,0.00,6.96,Same,1.58,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000063,Saddleback Memorial Medical Center,Orange,Acute Care Hospital,Community (125-250 Beds),0,1.660,41722,0.00,0.00,1.81,Same,0,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000066,Mission Hospital Laguna Beach,Orange,Acute Care Hospital,Community (<125 Beds),0,0.230,10434,0.00,0.00,15.85,Same,0,Yes,12,¥ See Data Dictionary
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000067,"St. Joseph Hospital, Orange",Orange,Acute Care Hospital,Community (>250 Beds),2,5.130,78302,0.39,0.07,1.29,Same,0.46,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000068,St. Jude Medical Center,Orange,Acute Care Hospital,Community (>250 Beds),2,4.400,73487,0.46,0.08,1.50,Same,0.7,Yes,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000068,"St. Jude Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.170,8724,,,,,,,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000071,University of California Irvine Medical Center,Orange,Acute Care Hospital,Major Teaching,9,9.910,108829,0.91,0.44,1.67,Same,0.44,No,12,
    2017,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000071,"University of California Irvine Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.060,3053,,,,,,,12,
