Year ,State,HAI,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,County,Infection_Count,Patient_Days,SIR ,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Comparison,Notes
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Barstow Community Hospital,.,.,240000001,.,.,San Bernardino,0,7666,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barton Memorial Hospital, South Lake Tahoe",.,.,030000114,.,.,El Dorado,0,7132,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Bear Valley Community Hospital, Big Bear Lake",.,.,240000002,.,.,San Bernardino,0,655,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Beverly Hospital, Montebello",.,.,930000012,.,.,Los Angeles,1,41440,0.44,0.02,2.19,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Woodland Memorial Hospital,.,.,030000146,.,.,Yolo,0,9929,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Biggs Gridley Memorial Hospital, Gridley",.,.,230000001,.,.,Butte,0,3107,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Hospital Medical Center, Los Angeles",.,.,930000002,.,.,Los Angeles,5,72364,1.23,0.45,2.72,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Medical Facility, Vacaville",.,.,150000441,.,.,Solano,0,2042,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Mens Colony, San Luis Obispo",.,.,170001888,.,.,San Luis Obispo,0,9108,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Davies Campus Hospital, SF",.,.,220000023,.,.,San Francisco,1,22050,0.83,0.04,4.08,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Pacific Campus Hospital, SF","California Pacific Medical Center, CA West Campus  Hospital, SF",.,220000022,220000002,.,San Francisco,5,109733,0.78,0.29,1.73,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, St Luke's Campus, San Francisco",.,.,220000018,.,.,San Francisco,2,16681,2.71,0.33,9.78,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Catalina Island Medical Center, Avalon",.,.,930000013,.,.,Los Angeles,0,41,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Cedars-Sinai Medical Center, Los Angeles",.,.,930000004,.,.,Los Angeles,8,267626,0.34,0.16,0.65,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Centinela Hospital Medical Center, Inglewood",.,.,930000022,.,.,Los Angeles,1,72945,0.21,0.01,1.06,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Central Valley General Hospital, Hanford",.,.,040000119,.,.,Kings,0,7289,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chapman Medical Center, Orange",.,.,060000006,.,.,Orange,1,11874,1.46,0.04,8.12,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital and Research Center at Oakland,.,.,140000014,.,.,Alameda,0,47499,0,0,1.76,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital at Mission, Mission Viejo",.,.,060001207,.,.,Orange,0,8200,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital Central California, Madera",.,.,040000129,.,.,Madera,2,72776,0.59,0.1,1.94,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital of Los Angeles,.,.,930000034,.,.,Los Angeles,6,102642,1,0.41,2.09,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital of Orange County, Orange",.,.,060000007,.,.,Orange,0,59243,0,0,0.86,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chinese Hospital, San Francisco",.,.,220000003,.,.,San Francisco,0,11265,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chino Valley Medical Center, Chino",.,.,240000003,.,.,San Bernardino,0,14397,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Citrus Valley Medical Center, IC , Covina","Citrus Valley Medical Center, QV,  West Covina",.,930000070,930000132,.,Los Angeles,5,112102,0.55,0.2,1.22,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"City of Hope Helford Clinical Research Hospital, Duarte",.,.,930000036,.,.,Los Angeles,4,60086,1.78,0.57,4.3,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Clovis Community Medical Center,.,.,040000095,.,.,Fresno,3,53075,1.25,0.32,3.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Coalinga Regional Medical Center,.,.,040000096,.,.,Fresno,0,976,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Coast Plaza Hospital, Norwalk",.,.,930000038,.,.,Los Angeles,0,13790,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eastern Plumas Health Care, Portola",.,.,230000004,.,.,Plumas,0,889,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Coastal Communities Hospital, Santa Ana",.,.,060000021,.,.,Orange,1,18750,1.02,0.03,5.68,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),College Hospital Costa Mesa,.,.,060000008,.,.,Orange,0,39515,0,0,2.12,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Colorado River Medical Center, Needles",.,.,240000034,.,.,San Bernardino,1,1540,18.18,0.46,101.3,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Colusa Reg Medical Center,.,.,230000259,.,.,Colusa,0,2431,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community and Mission Hospital of Huntington Park,.,.,930000040,.,.,Los Angeles,0,14747,0,0,2.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospital Long Beach,.,.,930000082,.,.,Los Angeles,0,11242,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospital of San Bernardino,.,.,240000082,.,.,San Bernardino,1,30736,0.49,0.02,2.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Hospital of The Monterey Peninsula, Monterey",.,.,070000137,.,.,Monterey,0,47909,0,0,1.43,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Memorial Hospital, San Buenaventura, Ventura",.,.,050000014,.,.,Ventura,3,51928,0.83,0.21,2.25,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Regional Medical Center, Fresno",.,.,040000101,.,.,Fresno,19,196889,0.93,0.58,1.42,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Contra Costa Regional Medical Center, Martinez",.,.,140000195,.,.,Contra Costa,1,44733,0.48,0.02,2.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Corona Regional Medical Center, Campus #1","Corona Regional Medical Center, Campus #2",.,250000006,250000007,.,Riverside,0,31611,0,0,1.27,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Dameron Hospital, Stockton",.,.,030000117,.,.,San Joaquin,1,32745,0.43,0.02,2.13,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Delano Regional Medical Center,.,.,120000336,.,.,Kern,0,14294,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Regional Medical Center, Palm Springs",.,.,250000008,.,.,Riverside,2,77398,0.5,0.08,1.66,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Valley Hospital, Victorville",.,.,240001330,.,.,San Bernardino,2,32383,1.14,0.19,3.76,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Doctors Hospital of Manteca,.,.,030000118,.,.,San Joaquin,0,15299,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Hospital of West Covina, Inc, West Covina",.,.,930000188,.,.,Los Angeles,0,365,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, Modesto",.,.,030000122,.,.,Stanislaus,7,130323,0.73,0.32,1.44,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, San Pablo",.,.,110001204,.,.,Contra Costa,2,24463,1.27,0.21,4.21,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Dominican Hospital,.,.,070000139,.,.,Santa Cruz,2,50605,0.82,0.14,2.71,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Downey Regional Medical Center,.,.,930000052,.,.,Los Angeles,0,36504,0,0,1.64,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Earl & Loraine Miller Children's Hospital, Long Beach",.,.,930001709,.,.,Los Angeles,3,78645,1.01,0.26,2.73,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Los Angeles Doctors Hospital, Los Angeles",.,.,930000053,.,.,Los Angeles,3,27145,2.3,0.59,6.26,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Valley Hospital Medical Center, Glendora",.,.,930000060,.,.,Los Angeles,0,5950,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eden Medical Center, Castro Valley",.,.,140000183,.,.,Alameda,2,38677,0.81,0.17,2.67,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eisenhower Medical Center, Rancho Mirage",.,.,250000011,.,.,Riverside,1,77381,0.15,0.01,0.73,Lower,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospital, Los Gatos",.,.,070000136,.,.,Santa Clara,1,15239,1.55,0.04,8.63,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospital, Mountain View",.,.,070001351,.,.,Santa Clara,1,68521,0.32,0.02,1.55,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),El Centro Regional Medical Center,.,.,090000040,.,.,Imperial,1,27358,0.64,0.03,3.17,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Emanuel Medical Center Inc, Turlock",.,.,030000125,.,.,Stanislaus,0,43402,0,0,1.44,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Encino Hospital Medical Center, Encino",.,.,930000054,.,.,Los Angeles,1,21534,0.8,0.04,3.96,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Enloe Medical Center-Cohasset, Chico","Enloe Medical Center-Esplanade, Chico","Enloe Rehabilitation Center, Chico",230000013,230000002,230000405,Butte,2,70412,0.5,0.08,1.64,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fairchild Medical Center, Yreka",.,.,230000019,.,.,Siskiyou,0,5283,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fairview Developmental Center, Costa Mesa",.,.,170001767,.,.,Orange,0,313,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fallbrook Hospital District,.,.,080000043,.,.,San Diego,0,5648,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Feather River Hospital, Paradise",.,.,230000005,.,.,Butte,0,21853,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Foothill Presbyterian Hospital-Johnston Memorial, Glendora",.,.,930000056,.,.,Los Angeles,0,19333,0,0,2.47,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fountain Valley Regional Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center,.,060000011,060000936,.,Orange,2,90106,0.4,0.07,1.32,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Frank R. Howard Memorial Hospital, Willits",.,.,110000008,.,.,Mendocino,0,5742,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fremont Medical Center, Yuba City","Rideout Memorial Hospital, Marysville",.,230000261,230000260,.,Sutter-Yuba,8,52865,3.42,1.59,6.49,Higher,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"French Hospital Medical Center, San Luis Obispo",.,.,050000016,.,.,San Luis Obispo,1,15075,0.97,0.05,4.79,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fresno Heart and Surgical Hospital,.,.,040001397,.,.,Fresno,0,11669,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fresno Surgical Hospital,.,.,040000254,.,.,Fresno,0,3848,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Garden Grove Hospital and Medical Center,.,.,060000058,.,.,Orange,2,22895,1.42,0.24,4.68,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Garfield Medical Center, Monterey Park",.,.,930000058,.,.,Los Angeles,2,62108,0.72,0.12,2.38,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"George L. Mee Memorial Hospital, King City",.,.,070000141,.,.,Monterey,0,24944,0,0,2.27,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Glendale Adventist Medical Center,.,.,930000059,.,.,Los Angeles,5,104313,0.7,0.26,1.56,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Glendale Memorial Hospital and Health Center,.,.,930000093,.,.,Los Angeles,4,50287,1.16,0.37,2.79,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Glenn Medical Center, Willows",.,.,230000006,.,.,Glenn,0,755,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Goleta Valley Cottage Hospital, Santa Barbara",.,.,050000017,.,.,Santa Barbara,0,14694,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, Bakersfield",.,.,120000319,.,.,Kern,0,4381,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, Los Angeles",.,.,930000068,.,.,Los Angeles,4,66219,1.14,0.36,2.74,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, San Jose","Mission Oaks Hospital, Los Gatos",.,070000153,070000154,.,Santa Clara,4,86728,0.83,0.26,2,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Greater El Monte Community Hospital, South El Monte",.,.,930000062,.,.,Los Angeles,0,15223,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Grossmont Hospital, La Mesa",.,.,080000045,.,.,San Diego,6,123527,0.58,0.23,1.2,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hazel Hawkins Memorial Hospital, Hollister",.,.,070000142,.,.,San Benito,0,8316,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Healdsburg District Hospital,.,.,110000009,.,.,Sonoma,,,,,,.,"+ Incomplete Reporter, see data dictionary"
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Healthbridge Children's Hospital, Orange",.,.,060001674,.,.,Orange,0,1561,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Hemet Valley Medical Center,.,.,250000012,.,.,Riverside,3,31904,0.98,0.25,2.65,No Different,¶  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Henry Mayo Newhall Memorial Hospital, Valencia",.,.,930000063,.,.,Los Angeles,2,54515,0.78,0.13,2.56,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hi-Desert Medical Center, Joshua Tree",.,.,240000014,.,.,San Bernardino,0,10957,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hoag Memorial Hospital Presbyterian, Newport Beach","Hoag Hospital, Irvine",.,060000014,060001022,.,Orange,3,119003,0.38,0.1,1.03,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Hoag Orthopedic Hospitalital,.,.,630012891,.,.,Orange,0,9712,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hollywood Presbyterian Medical Center, Los Angeles",.,.,930000065,.,.,Los Angeles,4,66057,0.83,0.26,1.99,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Huntington Beach Hospital,.,.,060000015,.,.,Orange,0,19391,0,0,2.39,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Huntington Memorial Hospital, Pasadena",.,.,930000026,.,.,Los Angeles,3,129418,0.38,0.1,1.03,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Jerold Phelps Community Hospital, Garberville",.,.,110000057,.,.,Humboldt,0,86,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John C. Fremont Healthcare District, Mariposa",.,.,040000105,.,.,Mariposa,0,9070,,,,.,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John D Klarich Memorial Hospital, CSP-Corcoran",.,.,170001879,.,.,Kings,1,23266,1.2,0.03,6.68,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John F. Kennedy Memorial Hospital, Indio",.,.,250000017,.,.,Riverside,0,24919,0,0,2.52,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John Muir Medical Center, Concord",.,.,140000196,.,.,Contra Costa,4,41890,1.22,0.39,2.95,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John Muir Medical Center, Walnut Creek",.,.,140000187,.,.,Contra Costa,4,86091,1.14,0.36,2.75,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital & Rehab. Center, Vallejo",.,.,110000011,.,.,Solano,0,49230,0,0,1.47,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital South Bay, Harbor City",.,.,930000071,.,.,Los Angeles,3,51145,1.43,0.36,3.88,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Anaheim Medical Center",Kaiser Foundation Hospital-Lakeview Medical Center,.,630013929,060000018,.,Orange,4,54901,1.71,0.54,4.12,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Antioch",.,.,630011203,.,.,Contra Costa,0,30201,0,0,2.32,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Baldwin Park",.,.,930001543,.,.,Los Angeles,1,47786,0.54,0.03,2.68,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Downey, Bellflower",.,.,930000074,.,.,Los Angeles,1,73631,0.36,0.02,1.76,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Fontana",.,.,240000024,.,.,San Bernardino,0,75170,0,0,1.11,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Fresno",.,.,040000949,.,.,Fresno,2,26721,1.66,0.28,5.48,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Hayward/Fremont","Kaiser Foundation Hospital, Fremont",.,140000189,140001086,.,Alameda,1,54226,0.41,0.02,2.02,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Irvine",.,.,630011745,.,.,Orange,0,46106,0,0,1.63,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Los Angeles",.,.,930000072,.,.,Los Angeles,5,111087,0.84,0.31,1.87,No Different,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Manteca","Kaiser Foundation Hospital, Modesto",.,030000973,630011683,.,Stanislaus-San Joaquin,0,31992,0,0,2.03,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Moreno Valley",.,.,630011959,.,.,Riverside,1,15315,1.66,0.04,9.27,No Different,¥  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Oakland/Richmond","Kaiser Foundation Hospital, Richmond Campus",.,140000188,140000191,.,Alameda-Contra Costa,2,72948,0.73,0.12,2.4,No Different,†  See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Ontario",.,.,630013398,.,.,San Bernardino,7,69352,2.53,1.11,5,Higher,
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Kaiser Foundation Hospital, Panorama City",.,.,930000050,.,.,Los Angeles,1,47484,0.57,0.03,2.79,No Different,
