Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Patient_Days,Hospital_Onset_Rate,CI_95_Lower_Limit,CI_95_Upper_Limit,Comparison,Notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,0,4489,0,0,6.67,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000026,Huntington Memorial Hospital,Los Angeles,0,2373,0,0,12.62,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,0,8207,0,0,3.65,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,0,16685,0,0,1.8,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120001444,Kaweah Delta Medical Center,Tulare,0,7542,0,0,3.97,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000912,Keck Hospital of USC,Los Angeles,0,3812,0,0,7.86,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000012,Laguna Honda Hospital & Rehabilitation Center,San Francisco,0,431,0,0,69.51,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),030000139,Lodi Memorial Hospital,San Joaquin,0,2260,0,0,13.26,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),240000027,Loma Linda University Medical Center,San Bernardino,2,17881,1.12,0.14,4.04,Higher,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000095,Long Beach Memorial Medical Center,Los Angeles,0,6888,0,0,4.35,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),050000553,Los Robles Hospital & Medical Center - East Campus,Ventura,0,6252,0,0,4.79,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),050000009,"Marian Regional Medical Center, Arroyo Grande",San Luis Obispo,0,5457,0,0,5.49,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),030000124,Mercy General Hospital,Sacramento,0,6602,0,0,4.54,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000096,Methodist Hospital of Southern California,Los Angeles,0,6795,0,0,4.41,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),060000060,Mission Hospital Regional Medical Center,Orange,0,4930,0,0,6.08,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),070000145,Natividad Medical Center,Monterey,1,6869,1.46,0.04,8.11,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000111,Northridge Hospital Medical Center,Los Angeles,0,4183,0,0,7.16,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),080000142,Palomar Health Downtown Campus,San Diego,0,7669,0,0,3.91,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),090000145,Paradise Valley Hospital,San Diego,0,2343,0,0,12.79,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000066,Providence Holy Cross Medical Center,Los Angeles,0,2875,0,0,10.42,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000157,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,0,4946,0,0,6.06,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000041,Queen of the Valley Medical Center,Napa,0,2908,0,0,10.3,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000029,Saint Francis Memorial Hospital,San Francisco,0,5203,0,0,5.76,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000104,Saint Vincent Medical Center,Los Angeles,0,5432,0,0,5.51,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,0,17686,0,0,1.69,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),050000280,Santa Barbara Cottage Hospital,Santa Barbara,1,9405,1.06,0.03,5.92,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),070000149,Santa Clara Valley Medical Center,Santa Clara,0,13303,0,0,2.25,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140001268,Santa Rosa Memorial Hospital,Sonoma,0,3252,0,0,9.21,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),080000150,Scripps Memorial Hospital - Encinitas,San Diego,1,6664,1.5,0.04,8.36,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),080000036,Sharp Memorial Hospital,San Diego,0,7910,0,0,3.79,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),050000035,St Johns Regional Medical Center,Ventura,0,6452,0,0,4.64,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),060000068,St. Jude Medical Center,Orange,0,8880,0,0,3.37,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000103,"St. Mary Medical Center, Long Beach",Los Angeles,0,5505,0,0,5.44,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000030,St. Mary's Medical Center,San Francisco,0,4672,0,0,6.41,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),030000134,Sutter Roseville Medical Center,Placer,0,14342,0,0,2.09,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000069,The General Hospital,Humboldt,0,2271,0,0,13.19,No Difference,Free-Standing rehabilitation hospital
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),080000152,Tri-City Medical Center,San Diego,0,2255,0,0,13.28,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),030000113,University of California Davis Medical Center,Sacramento,0,5483,0,0,5.46,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),060000071,University of California Irvine Medical Center,Orange,0,3821,0,0,7.84,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000129,Valley Presbyterian Hospital,Los Angeles,0,3835,0,0,7.81,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000191,White Memorial Medical Center,Los Angeles,0,3481,0,0,8.61,No Difference,
