Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Months,SIR_2015,Notes
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,"Community, <125 Beds",0,0.99,26717,0.00,0.00,3.74,Same,Yes,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,1,4.17,87124,0.24,0.01,1.18,Same,Yes,12,0.45,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,"Community, 125-250 Beds",1,2.71,58660,0.37,0.02,1.82,Same,Yes,12,0.50,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-Term Acute Care Hospital,Long-Term Acute Care,3,5.01,28296,0.60,0.15,1.63,Same,No,12,0.74,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0,0.43,10758,0.00,0.00,8.49,Same,Yes,12,2.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,"Community, 125-250 Beds",2,0.76,18065,2.62,0.32,9.45,Same,No,12,0.65,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Major Teaching,2,1.73,34586,1.16,0.19,3.82,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,1,1.51,37763,0.66,0.03,3.26,Same,No,12,0.00,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Alameda,Acute Care Hospital,"Community, >250 Beds",4,3.16,57770,1.26,0.40,3.05,Same,No,12,0.74,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,"Community, <125 Beds",1,0.23,10274,4.28,0.11,23.85,Same,No,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,"Enloe Medical Center, Esplanade",Butte,Acute Care Hospital,"Community, >250 Beds",0,4.75,85833,0.00,0.00,0.63,Better,Yes,12,0.85,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.12,6172,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0.02,1167,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Butte,Acute Care Hospital,"Community, 125-250 Beds",0,1.09,23939,0.00,0.00,2.74,Same,Yes,6,1.15,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0,0.07,3303,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259,Colusa Medical Center,Colusa,Acute Care Hospital,"Community, <125 Beds",0,0.11,4748,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,0,1.26,30492,0.00,0.00,2.37,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,"John Muir Medical Center, Concord Campus",Contra Costa,Acute Care Hospital,Major Teaching,2,4.07,57264,0.49,0.08,1.63,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Acute Care Hospital,Major Teaching,6,8.33,95470,0.72,0.29,1.50,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.13,6776,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,Acute Care Hospital,Major Teaching,0,1.64,37984,0.00,0.00,1.83,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Contra Costa,Acute Care Hospital,Major Teaching,1,0.62,15418,1.63,0.04,9.06,Same,No,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,Acute Care Hospital,"Community, >250 Beds",2,3.50,67562,0.57,0.10,1.89,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,"Community, <125 Beds",0,0.57,16293,0.00,0.00,6.50,Same,Yes,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",3,1.07,28146,2.80,0.71,7.63,Same,No,12,0.65,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",0,0.35,7426,0.00,0.00,10.57,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1992,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,"Community, <125 Beds",1,0.21,6937,4.81,0.12,26.80,Same,No,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,"Community, <125 Beds",0,0.81,19562,0.00,0.00,4.57,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.20,9323,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.23,8084,0.00,0.00,16.32,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Major Teaching,0,2.73,74978,0.00,0.00,1.10,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000096,Coalinga Regional Medical Center,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.03,1519,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,12,15.83,209527,0.76,0.41,1.29,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.19,10096,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Major Teaching,0,0.62,15012,0.00,0.00,6.00,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.04,3486,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,"Kaiser Foundation Hospital, Fresno",Fresno,Acute Care Hospital,"Community, 125-250 Beds",2,2.08,43847,0.96,0.16,3.18,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Fresno,Acute Care Hospital,Major Teaching,11,8.04,105043,1.37,0.72,2.38,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Fresno,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.33,17500,0.00,0.00,11.09,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,0.18,8813,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.02,989,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",0,0.12,6626,,,,,,12,0.00,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,2,0.10,4952,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,"Providence St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Major Teaching,1,3.07,37059,0.33,0.02,1.61,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.06,3018,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000040,El Centro Regional Medical Center,Imperial,Acute Care Hospital,"Community, 125-250 Beds",1,1.74,29663,0.58,0.03,2.83,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000146,Pioneers Memorial Healthcare District,Imperial,Acute Care Hospital,"Community, <125 Beds",0,0.63,21034,0.00,0.00,5.82,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037,Northern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,0,0.07,3374,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102,Southern Inyo Hospital,Inyo,Critical Access Hospital,Critical Access,,,,,,,,,,,"Incomplete Reporter, interpret with caution"
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,Adventist Health Bakersfield,Kern,Acute Care Hospital,Major Teaching,4,5.55,74787,0.72,0.23,1.74,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",0,0.49,9762,0.00,0.00,7.51,Same,Yes,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,0.13,6257,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0,0.62,13769,0.00,0.00,5.99,Same,Yes,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",7,4.03,80087,1.74,0.76,3.43,Same,No,12,0.63,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.42,21963,0.00,0.00,8.83,Same,Yes,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,"Community, <125 Beds",0,0.18,6349,,,,,,12,0.00,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,1,3.66,59014,0.27,0.01,1.35,Same,Yes,12,0.99,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,0,0.05,2225,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",4,1.15,25282,3.48,1.11,8.40,Worse,No,12,0.00,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",0,1.07,27688,0.00,0.00,2.80,Same,Yes,12,0.00,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,0,0.18,8586,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960,Adventist Health Hanford,Kings,Acute Care Hospital,"Community, 125-250 Beds",3,2.20,45859,1.36,0.35,3.71,Same,No,12,1.01,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,0,0.10,4923,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,1,0.14,6823,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0,0.08,4052,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Los Angeles,Acute Care Hospital,Major Teaching,4,7.01,92141,0.57,0.18,1.38,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.12,6257,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,Adventist Health White Memorial,Los Angeles,Acute Care Hospital,Major Teaching,0,4.22,75717,0.00,0.00,0.71,Better,Yes,12,0.40,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,"Adventist Health White Memorial, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,,,,,,,,,,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1,0.74,17882,1.35,0.03,7.52,Same,No,12,1.21,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005,Alhambra Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2811,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008,Antelope Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,5,4.46,92991,1.12,0.41,2.48,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014,Barlow Respiratory Hospital,Los Angeles,Long-Term Acute Care Hospital,Long-Term Acute Care,1,5.31,25601,0.19,0.01,0.93,Better,Yes,12,0.24,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012,Beverly Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",3,1.73,32456,1.73,0.44,4.71,Same,No,12,2.54,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002,"California Hospital Medical Center, Los Angeles",Los Angeles,Acute Care Hospital,Major Teaching,4,5.05,73563,0.79,0.25,1.91,Same,No,12,1.58,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031,California Rehabilitation Institute,Los Angeles,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.93,48779,0.00,0.00,3.98,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina  Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.48,25255,0.00,0.00,7.68,Same,Yes,12,,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020,Casa Colina Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.11,5026,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013,Catalina Island Medical Center,Los Angeles,Critical Access Hospital,Critical Access,0,0.01,325,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044,Cedars-Sinai Marina Del Rey Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",4,0.89,21508,4.47,1.22,11.45,Worse,No,12,1.90,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004,Cedars-Sinai Medical Center,Los Angeles,Acute Care Hospital,Major Teaching,15,24.21,287226,0.62,0.36,1.00,Better,No,12,0.93,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",6,3.05,65635,1.97,0.80,4.09,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022,Centinela Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3695,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034,Children's Hospital Los Angeles,Los Angeles,Acute Care Hospital,Pediatric,8,4.81,111483,1.66,0.77,3.16,Same,No,12,0.49,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036,City of Hope Helford Clinical Research Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",4,7.61,73564,0.53,0.17,1.27,Same,No,12,0.82,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038,Coast Plaza Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",1,0.69,10771,1.45,0.04,8.05,Same,No,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114,College Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2,1.87,25573,1.07,0.18,3.53,Same,No,12,0.57,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040,Community Hospital of Huntington Park,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.34,14702,0.00,0.00,10.83,Same,Yes,12,3.67,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158,DOCS Surgical Hospital,Los Angeles,Acute Care Hospital,"Community, <125 Beds",0,0.02,964,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053,East Los Angeles Doctors Hospital,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1,0.40,10919,2.49,0.06,13.86,Same,No,12,2.28,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056,Emanate Health Foothill Presbyterian Hospital,Los Angeles,Acute Care Hospital,Major Teaching,0,1.08,22377,0.00,0.00,2.78,Same,Yes,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070,Emanate Health Inter-Community Hospital,Los Angeles,Acute Care Hospital,Major Teaching,4,2.29,34387,1.75,0.55,4.21,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen of the Valley Hospital,Los Angeles,Acute Care Hospital,Major Teaching,3,2.84,59022,1.06,0.27,2.87,Same,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132,Emanate Health Queen of the Valley Hospital,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3483,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",1,0.33,6747,3.04,0.08,16.96,Same,No,12,0.00,¥ See Data Dictionary
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054,Encino Hospital Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2614,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,Acute Care Hospital,"Community, 125-250 Beds",2,2.98,42729,0.67,0.11,2.22,Same,No,12,1.86,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4759,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,Acute Care Hospital,"Community, >250 Beds",3,1.32,31115,2.27,0.58,6.19,Same,No,12,0.38,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.10,5232,,,,,,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,Acute Care Hospital,"Community, >250 Beds",11,5.64,70344,1.95,1.03,3.39,Worse,No,12,,
2021,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.13,6666,,,,,,12,,
