Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Predicted_Cases,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000056,Foothill Presbyterian Hospital-Johnston Memorial,Los Angeles,1,2.05,22598,0.49,0.02,2.41,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000011,Fountain Valley Regional Hospital & Medical Center,Orange,6,4.6,86219,1.31,0.53,2.72,No Difference,"* Hospitals reported combined data, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000008,Frank R. Howard Memorial Hospital,Mendocino,0,0.25,5772,0,0,14.88,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000016,French Hospital Medical Center,San Luis Obispo,0,0.98,16840,0,0,3.78,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40001397,Fresno Heart and Surgical Hospital,Fresno,0,0.4,11259,0,0,9.15,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000254,Fresno Surgical Hospital,Fresno,0,0.12,3398,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000058,Garden Grove Hospital and Medical Center,Orange,3,0.93,21958,3.23,0.67,9.45,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000032,Gardens Regional Hospital and Medical Center,Los Angeles,0,,13837,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000058,Garfield Medical Center,Los Angeles,4,2.35,57463,1.7,0.54,4.1,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000141,George L. Mee Memorial Hospital,Monterey,0,0.76,21170,0,0,4.86,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000059,Glendale Adventist Medical Center,Los Angeles,7,6.07,75975,1.15,0.51,2.28,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Los Angeles,1,4.97,48908,0.2,0.01,0.99,Lower,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000060,Glendora Community Hospital,Los Angeles,0,,2683,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),230000006,Glenn Medical Center,Glenn,0,0.05,1303,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),50000017,Goleta Valley Cottage Hospital,Santa Barbara,0,0.29,7516,0,0,12.53,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,0,0.65,18160,0,0,5.67,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000068,"Good Samaritan Hospital, Los Angeles",Los Angeles,10,2.68,65117,3.73,1.9,6.65,Higher,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000153,"Good Samaritan Hospital, San Jose",Santa Clara,3,4.68,83883,0.64,0.16,1.75,No Difference,"* Hospitals reported combined data, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000062,Greater El Monte Community Hospital,Los Angeles,0,,10815,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000045,Grossmont Hospital,San Diego,7,5.9,104079,1.19,0.52,2.35,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000142,Hazel Hawkins Memorial Hospital,San Benito,1,0.32,8203,3.1,0.08,17.26,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000009,Healdsburg District Hospital,Sonoma,0,0.15,4263,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60001674,Healthbridge Children's Hospital - Orange,Orange,0,0.09,2567,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000012,Hemet Valley Medical Center,Riverside,6,3.29,45432,1.82,0.74,3.79,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000063,Henry Mayo Newhall Hospital,Los Angeles,0,,48811,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),240000014,Hi-Desert Medical Center,San Bernardino,0,0.32,8823,0,0,11.67,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000034,Highland Hospital,Alameda,2,2.93,49028,0.68,0.12,2.26,No Difference,"* Hospitals reported combined data, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60001022,Hoag Hospital Irvine,Orange,0,0.92,15659,0,0,4.02,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000014,Hoag Memorial Hospital Presbyterian,Orange,2,7.03,108929,0.28,0.05,0.94,Lower,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630012891,Hoag Orthopedic Institute,Orange,0,0.38,10724,0,0,9.6,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000065,Hollywood Presbyterian Medical Center,Los Angeles,3,4.14,77836,0.73,0.19,1.97,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),60000015,Huntington Beach Hospital,Orange,1,0.69,11947,1.46,0.04,8.11,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000026,Huntington Memorial Hospital,Los Angeles,4,7.38,115839,0.54,0.17,1.31,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000057,Jerold Phelps Community Hospital,Humboldt,0,0.03,821,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000105,John C. Fremont Healthcare District,Mariposa,0,0.16,4501,,,,,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000017,John F. Kennedy Memorial Hospital,Riverside,0,1.15,25868,0,0,2.61,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000196,John Muir Medical Center - Concord Campus,Contra Costa,4,1.93,48313,2.07,0.66,5,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,1,3.48,87792,0.29,0.01,1.42,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Solano,0,1.53,41095,0,0,1.95,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630011203,"Kaiser Foundation Hospital, Antioch",Contra Costa,1,1.16,31032,0.86,0.04,4.26,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930001543,"Kaiser Foundation Hospital, Baldwin Park",Los Angeles,0,1.69,45545,0,0,1.77,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000074,"Kaiser Foundation Hospital, Downey",Los Angeles,3,3.25,85270,0.92,0.24,2.51,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),240000024,"Kaiser Foundation Hospital, Fontana",San Bernardino,2,4.6,92385,0.44,0.07,1.44,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,0,0.67,17178,0,0,5.5,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),40000949,"Kaiser Foundation Hospital, Fresno",Fresno,4,1.16,30662,3.45,1.1,8.33,Higher,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000072,"Kaiser Foundation Hospital, Los Angeles",Los Angeles,6,8.92,117603,0.67,0.27,1.4,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000973,"Kaiser Foundation Hospital, Manteca",Stanislaus,4,1.78,45504,2.25,0.72,5.43,No Difference,"* Hospitals reported combined data, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630011959,"Kaiser Foundation Hospital, Moreno Valley",Riverside,0,0.67,18162,0,0,5.54,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,2,4.77,90255,0.42,0.07,1.39,No Difference,"* Hospitals reported combined data, see Data Dictionary"
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630013398,"Kaiser Foundation Hospital, Ontario",San Bernardino,1,2.16,43348,0.46,0.02,2.28,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Orange,2,2.53,69204,0.79,0.13,2.61,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630011745,"Kaiser Foundation Hospital, Orange County, Irvine",Orange,1,1.84,50073,0.54,0.03,2.68,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000050,"Kaiser Foundation Hospital, Panorama City",Los Angeles,1,1.55,41681,0.65,0.03,3.18,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000010,"Kaiser Foundation Hospital, Redwood City",San Mateo,0,1.2,33565,0,0,2.49,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),250000707,"Kaiser Foundation Hospital, Riverside",Riverside,1,2.01,53407,0.5,0.03,2.46,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30001370,"Kaiser Foundation Hospital, Roseville",Placer,0,3.33,90296,0,0,0.9,Lower,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000130,"Kaiser Foundation Hospital, Sacramento",Sacramento,1,2.33,51396,0.43,0.02,2.11,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),80000144,"Kaiser Foundation Hospital, San Diego",San Diego,4,5.61,106055,0.71,0.23,1.72,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000008,"Kaiser Foundation Hospital, San Francisco",San Francisco,1,3.4,64809,0.29,0.02,1.45,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70000150,"Kaiser Foundation Hospital, San Jose",Santa Clara,0,1.9,49235,0,0,1.57,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,1,1.98,47991,0.51,0.03,2.49,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000944,"Kaiser Foundation Hospital, San Rafael",Marin,1,0.81,21842,1.23,0.03,6.84,No Difference,¥ See Data Dictionary
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),70001355,"Kaiser Foundation Hospital, Santa Clara",Santa Clara,5,3.27,91261,1.53,0.56,3.39,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,0,1.41,38580,0,0,2.12,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),930000071,"Kaiser Foundation Hospital, South Bay",Los Angeles,3,2.79,52179,1.07,0.27,2.92,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),30000133,"Kaiser Foundation Hospital, South Sacramento",Sacramento,3,2.08,56438,1.44,0.37,3.93,No Difference,
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),220000009,"Kaiser Foundation Hospital, South San Francisco",San Mateo,0,0.88,23205,0,0,4.18,No Difference,¥ See Data Dictionary
