Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Months,Notes
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000184,Fairmont Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.00,0,,,,,0,"Incomplete Reporter, interpret with caution"
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,1,2.75,43129,0.36,0.02,1.80,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034,Highland Hospital,Acute Care Hospital,Major Teaching,3,1.39,21953,2.16,0.55,5.89,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.30,5647,0.00,0.00,12.25,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",4,1.29,29098,3.10,0.98,7.47,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,2,2.25,12562,0.89,0.15,2.94,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,0.37,8345,0.00,0.00,10.02,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",1,1.28,31087,0.78,0.04,3.87,Same,6,
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.22,5198,0.00,0.00,16.49,Same,6,¥ See Data Dictionary
2020H2,California,Alameda,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",2,1.08,28314,1.85,0.31,6.11,Same,6,
2020H2,California,Amador,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.10,4983,,,,,6,
2020H2,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",0,1.94,41260,0.00,0.00,1.55,Same,6,
2020H2,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,1.09,24138,0.92,0.05,4.52,Same,6,
2020H2,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.01,498,,,,,6,
2020H2,California,Butte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.07,3641,,,,,6,
2020H2,California,Calaveras,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Critical Access Hospital,Critical Access,0,0.02,1160,,,,,4,"Incomplete Reporter, interpret with caution"
2020H2,California,Colusa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.05,1954,,,,,6,
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,1,2.22,26984,0.45,0.02,2.22,Same,6,
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3087,,,,,6,
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,3,4.17,44906,0.72,0.18,1.96,Same,6,
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.26,8527,0.00,0.00,13.93,Same,6,¥ See Data Dictionary
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.39,14116,0.00,0.00,9.45,Same,6,¥ See Data Dictionary
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",0,1.87,31871,0.00,0.00,1.61,Same,6,
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,0,0.74,18297,0.00,0.00,4.96,Same,6,¥ See Data Dictionary
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,1,0.76,14893,1.31,0.03,7.31,Same,6,¥ See Data Dictionary
2020H2,California,Contra Costa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,0,0.42,7350,0.00,0.00,8.78,Same,6,¥ See Data Dictionary
2020H2,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1220,,,,,6,
2020H2,California,Del Norte,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.10,3037,,,,,6,
2020H2,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.37,9717,0.00,0.00,10.05,Same,6,¥ See Data Dictionary
2020H2,California,El Dorado,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.09,3124,,,,,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,0,0.00,0,,,,,0,"Incomplete Reporter, interpret with caution"
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,0,0.00,0,,,,,0,"Incomplete Reporter, interpret with caution"
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,"Community Regional Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.00,0,,,,,0,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000126,Saint Agnes Medical Center,Acute Care Hospital,Major Teaching,5,2.85,49875,1.75,0.64,3.89,Same,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000949,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",1,1.01,22577,0.99,0.05,4.89,Same,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000613,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.16,8423,,,,,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Acute Care Hospital,"Community, <125 Beds",0,0.09,4586,,,,,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.00,0,,,,,0,"Incomplete Reporter, interpret with caution"
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,2055,,,,,6,
2020H2,California,Fresno,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Acute Care Hospital,"Community, <125 Beds",0,0.06,3203,,,,,6,
2020H2,California,Glenn,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Critical Access Hospital,Critical Access,0,0.04,2079,,,,,3,"Incomplete Reporter, interpret with caution"
2020H2,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,"Providence St. Joseph Hospital, Eureka",Acute Care Hospital,Major Teaching,2,1.73,17642,1.16,0.19,3.82,Same,6,
2020H2,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Providence Redwood Memorial Hospital,Critical Access Hospital,Critical Access,0,0.05,2474,,,,,6,
2020H2,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.06,3660,,,,,6,
2020H2,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Critical Access Hospital,Critical Access,0,0.01,607,,,,,6,
2020H2,California,Humboldt,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.03,1578,,,,,6,
2020H2,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000040,El Centro Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,1.02,17223,0.00,0.00,2.95,Same,6,
2020H2,California,Imperial,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),090000146,Pioneers Memorial Healthcare District,Acute Care Hospital,"Community, <125 Beds",0,0.36,11154,0.00,0.00,10.16,Same,6,¥ See Data Dictionary
2020H2,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000037,Northern Inyo Hospital,Critical Access Hospital,Critical Access,0,0.04,1924,,,,,6,
2020H2,California,Inyo,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),240000102,Southern Inyo Hospital,Critical Access Hospital,Critical Access,0,0.00,0,,,,,0,"Incomplete Reporter, interpret with caution"
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.21,11055,0.00,0.00,17.55,Same,6,¥ See Data Dictionary
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Tehachapi Valley,Critical Access Hospital,Critical Access,0,0.06,2725,,,,,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Adventist Health Delano,Acute Care Hospital,"Community, <125 Beds",0,0.16,4663,,,,,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",3,2.64,37682,1.14,0.29,3.10,Same,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,Adventist Health Bakersfield,Acute Care Hospital,Major Teaching,2,1.81,35186,1.10,0.19,3.65,Same,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.23,6811,0.00,0.00,16.08,Same,6,¥ See Data Dictionary
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Critical Access Hospital,Critical Access,0,0.08,3794,,,,,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,"Community, <125 Beds",0,0.08,3728,,,,,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Critical Access Hospital,Critical Access,0,0.03,1373,,,,,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.98,12980,1.02,0.03,5.67,Same,6,¥ See Data Dictionary
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Acute Care Hospital,Major Teaching,1,2.31,28475,0.43,0.02,2.13,Same,6,
2020H2,California,Kern,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.46,14594,0.00,0.00,8.11,Same,6,¥ See Data Dictionary
2020H2,California,Kings,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630012960,Adventist Health Hanford,Acute Care Hospital,"Community, 125-250 Beds",1,0.94,24966,1.06,0.03,5.90,Same,6,¥ See Data Dictionary
2020H2,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,Adventist Health Clearlake,Critical Access Hospital,Critical Access,0,0.05,2315,,,,,6,
2020H2,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Critical Access Hospital,Critical Access,0,0.07,3567,,,,,6,
2020H2,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,0,0.04,1879,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095,"MemorialCare Long Beach Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3451,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000095,MemorialCare Long Beach Medical Center,Acute Care Hospital,Major Teaching,2,4.35,47196,0.46,0.08,1.52,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,5,8.82,140138,0.57,0.21,1.26,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000127,Torrance Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",1,2.29,47224,0.44,0.02,2.15,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001709,MemorialCare Miller Children's & Women's Hospital Long Beach,Acute Care Hospital,Pediatric,0,0.75,28713,0.00,0.00,4.92,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071,"Kaiser Foundation Hospital, South Bay",Acute Care Hospital,Major Teaching,4,1.40,28184,2.87,0.91,6.92,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099,"PIH Health Hospital, Whittier, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1758,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000099,"PIH Health Hospital, Whittier",Acute Care Hospital,"Community, >250 Beds",2,1.60,43123,1.25,0.21,4.14,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912,"Keck Hospital of USC, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,2163,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912,Keck Hospital of USC,Acute Care Hospital,Major Teaching,4,3.06,39758,1.31,0.42,3.16,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000163,USC Kenneth Norris Jr. Cancer Hospital,Acute Care Hospital,Major Teaching,2,0.86,6913,2.32,0.28,8.39,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000140,Sherman Oaks Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.36,9235,2.77,0.07,15.42,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,"LAC/Rancho Los Amigos National Rehabilitation Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.23,11841,0.00,0.00,16.38,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000028,LAC/Rancho Los Amigos National Rehabilitation Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.43,10089,0.00,0.00,8.66,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,"Adventist Health Glendale, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.06,3210,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000059,Adventist Health Glendale,Acute Care Hospital,"Community, >250 Beds",5,2.25,45916,2.23,0.82,4.94,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000191,Adventist Health White Memorial,Acute Care Hospital,Major Teaching,3,3.03,39770,0.99,0.25,2.69,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,0,1.88,51686,0.00,0.00,1.59,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,"Glendale Memorial Hospital and Health Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1753,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093,Glendale Memorial Hospital and Health Center,Acute Care Hospital,"Community, >250 Beds",0,0.71,15838,0.00,0.00,5.17,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070,Emanate Health Inter-Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,0.58,18513,1.73,0.04,9.65,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000151,Whittier Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.38,11223,0.00,0.00,9.82,Same,5,"Incomplete Reporter, interpret with caution"
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050,"Kaiser Foundation Hospital, Panorama City",Acute Care Hospital,Major Teaching,0,0.92,20563,0.00,0.00,4.00,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056,Emanate Health Foothill Presbyterian Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.40,11481,2.47,0.06,13.77,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000128,St. Francis Medical Center,Acute Care Hospital,"Community, >250 Beds",6,1.95,29089,3.07,1.25,6.39,Worse,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),060000027,LAC/Harbor UCLA Medical Center,Acute Care Hospital,Major Teaching,3,2.21,37294,1.36,0.35,3.69,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000027,Mission Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,1.03,18963,0.98,0.05,4.81,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074,"Kaiser Foundation Hospital, Downey",Acute Care Hospital,Major Teaching,2,2.59,42637,0.77,0.13,2.55,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000041,San Gabriel Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,0.86,16436,1.16,0.03,6.45,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000091,Providence Cedars-Sinai Tarzana Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,1.09,22216,0.91,0.05,4.51,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066,"Providence Holy Cross Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.03,1569,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000066,Providence Holy Cross Medical Center,Acute Care Hospital,"Community, >250 Beds",2,1.98,40791,1.01,0.17,3.34,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096,"Methodist Hospital of Southern California, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3894,,,,,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000096,Methodist Hospital of Southern California,Acute Care Hospital,"Community, >250 Beds",3,2.47,30840,1.21,0.31,3.30,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000133,Pacifica Hospital of the Valley,Acute Care Hospital,"Community, 125-250 Beds",0,0.29,4945,0.00,0.00,12.59,Same,6,¥ See Data Dictionary
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000123,Pomona Valley Hospital Medical Center,Acute Care Hospital,Major Teaching,6,2.77,48358,2.17,0.88,4.51,Same,6,
2020H2,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076,"Kaiser Foundation Hospital, West LA",Acute Care Hospital,"Community, >250 Beds",5,0.78,21783,6.41,2.08,14.96,Worse,6,¥ See Data Dictionary
