Year,State,HAI,Facility_ID,Facility_Name,County,Facility_Category,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,Notes
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019,Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,0,0.14,6647,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000021,Mad River Community Hospital,Humboldt,General Acute Care Hospital,Community (<125 Beds),0,0.21,9544,0,0,17.58,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000023,Mendocino Coast District Hospital,Mendocino,Critical Access Hospital,Critical Access,2,0.09,4558,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000038,Sonoma West Medical Center,Sonoma,General Acute Care Hospital,Community (<125 Beds),0,0.06,3605,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000040,Petaluma Valley Hospital,Sonoma,General Acute Care Hospital,Community (<125 Beds),1,0.54,12029,1.86,0.05,10.34,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,Queen of the Valley Medical Center,Napa,General Acute Care Hospital,Community (125-250 Beds),3,1.16,29792,2.58,0.66,7.03,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000041,"Queen of the Valley Medical Center, Rehabilitation Unit",Napa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.05,2833,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044,St. Helena Hospital - Clearlake,Lake,Critical Access Hospital,Critical Access,0,0.11,5496,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000045,Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.13,6275,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,General Acute Care Hospital,Community (<125 Beds),0,0.24,7375,0,0,15.54,Same,,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,"Sutter Coast Hospital, Rehabilitation Unit",Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.02,1284,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000056,Sonoma Valley Hospital,Sonoma,General Acute Care Hospital,Community (<125 Beds),0,0.12,4759,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000057,Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,0,0.03,1332,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000058,St. Helena Hospital,Napa,General Acute Care Hospital,Community (125-250 Beds),0,0.67,18731,0,0,5.49,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000067,"St. Joseph Hospital, Eureka",Humboldt,General Acute Care Hospital,Community (125-250 Beds),3,1.66,31290,1.81,0.46,4.92,Same,3.72,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000068,Sutter Solano Medical Center,Solano,General Acute Care Hospital,Community (<125 Beds),1,0.79,20261,1.27,0.03,7.06,Same,1.45,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000069,The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.04,2329,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000070,Ukiah Valley Medical Center,Mendocino,General Acute Care Hospital,Community (<125 Beds),1,0.53,13922,1.89,0.05,10.53,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000378,Northbay Vacavalley Hospital,Solano,Critical Access Hospital,Critical Access,0,0.3,14258,0,0,12.43,Same,4.13,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000508,"Kaiser Foundation Hospital, Santa Rosa",Sonoma,General Acute Care Hospital,Community (125-250 Beds),0,1.2,38553,0,0,2.5,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000944,"Kaiser Foundation Hospital, San Rafael",Marin,General Acute Care Hospital,Community (<125 Beds),1,0.63,19938,1.58,0.04,8.8,Same,1.67,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000946,Kentfield Rehabilitation & Specialty Hospital,Marin,Long-term Acute Care Hospital,LTAC,0,2.92,20067,0,0,1.03,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000953,Marin General Hospital,Marin,General Acute Care Hospital,Community (125-250 Beds),3,1.64,38854,1.83,0.47,4.98,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000982,Novato Community Hospital,Marin,General Acute Care Hospital,Community (<125 Beds),0,0.26,6114,0,0,14.02,Same,,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000319,"Good Samaritan Hospital, Bakersfield",Kern,General Acute Care Hospital,Community (<125 Beds),0,0.12,5717,, , ,,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000336,Delano Regional Medical Center,Kern,General Acute Care Hospital,Community (<125 Beds),0,0.31,9566,0,0,11.97,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000338,Bakersfield Memorial Hospital,Kern,General Acute Care Hospital,Community (>250 Beds),8,3.69,65729,2.17,1.01,4.12,Worse,0.63,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000342,Kern Medical Center,Kern,General Acute Care Hospital,Major Teaching,2,2.47,42430,0.81,0.14,2.67,Same,0.99,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000344,Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,1,0.06,2821,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000404,Mercy Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),3,1.14,21353,2.63,0.67,7.17,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000409,Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,1,0.15,7009,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000411,San Joaquin Community Hospital,Kern,General Acute Care Hospital,Community (>250 Beds),2,3.09,75232,0.65,0.11,2.14,Same,1.33,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000413,Adventist Health Medical Center Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,0,0.11,5490,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000555,Healthsouth Bakersfield Rehabilitation Hospital,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.43,22533,0,0,8.61,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120000701,Mercy Southwest Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),1,0.93,27429,1.07,0.03,5.98,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001330,Bakersfield Heart Hospital,Kern,General Acute Care Hospital,Community (<125 Beds),0,0.56,13315,0,0,6.59,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001444,Kaweah Delta Medical Center,Tulare,General Acute Care Hospital,Community (>250 Beds),10,5.48,108616,1.82,0.93,3.25,Same,0.69,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001444,Kaweah Delta Medical Center Rehabilitation Hospital,Tulare,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,0,0.05,2823,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001464,Sierra View Medical Center,Tulare,General Acute Care Hospital,Community (125-250 Beds),0,0.53,21196,0,0,6.99,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),120001467,Tulare Regional Medical Center,Tulare,General Acute Care Hospital,Community (<125 Beds),1,0.53,15189,1.87,0.05,10.42,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011,Alameda Hospital,Alameda,General Acute Care Hospital,Community (<125 Beds),0,0.69,16784,0,0,5.32,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Alameda,General Acute Care Hospital,Community (>250 Beds),3,2.67,65871,1.13,0.29,3.06,Same,0.48,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,Children's Hospital & Research Center Oakland,Alameda,General Acute Care Hospital,Pediatric,0,1.92,45872,0,0,1.56,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),3,1.04,28676,2.88,0.73,7.83,Same,0.65,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034,Highland Hospital,Alameda,General Acute Care Hospital,Major Teaching,3,2.83,52321,1.06,0.27,2.88,Same,0.74,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Alameda,General Acute Care Hospital,Community (125-250 Beds),2,1.67,24904,1.2,0.2,3.96,Same,0.65,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Alameda,General Acute Care Hospital,Community (>250 Beds),1,2.21,59250,0.45,0.02,2.23,Same,0.74,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,2,3.67,22195,0.55,0.09,1.8,Same,0.74,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183,Eden Medical Center,Alameda,General Acute Care Hospital,Community (125-250 Beds),3,1.98,39854,1.52,0.39,4.13,Same,2.19,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,John Muir Medical Center - Walnut Creek Campus,Contra Costa,General Acute Care Hospital,Community (>250 Beds),6,4.62,89855,1.3,0.53,2.7,Same,0.22,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,"John Muir Medical Center - Walnut Creek Campus, Rehabilitation Unit",Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.15,7809,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,General Acute Care Hospital,Major Teaching,5,4.24,94578,1.18,0.43,2.61,Same,0.45,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Contra Costa,General Acute Care Hospital,Community (125-250 Beds),2,2.52,56675,0.79,0.13,2.62,Same,0.32,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),1,2.07,42220,0.48,0.02,2.38,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,John Muir Medical Center - Concord Campus,Contra Costa,General Acute Care Hospital,Community (125-250 Beds),3,1.97,50703,1.52,0.39,4.14,Same,1.58,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,Alta Bates Summit Medical Center,Alameda,General Acute Care Hospital,Community (>250 Beds),3,3.81,57543,0.79,0.2,2.15,Same,0.58,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.35,18421,0,0,10.53,Same,0,"¥ See Data Dictionary; * Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Contra Costa,General Acute Care Hospital,Community (<125 Beds),0,0.57,20982,0,0,6.51,Same,0,"¥ See Data Dictionary; * Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000797,Valleycare Medical Center,Alameda,General Acute Care Hospital,Community (125-250 Beds),0,1.59,37066,0,0,1.89,Same,0.54,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,General Acute Care Hospital,Community (<125 Beds),0,0.63,16478,0,0,5.89,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001268,Santa Rosa Memorial Hospital,Sonoma,General Acute Care Hospital,Community (>250 Beds),2,3.6,66278,0.56,0.09,1.84,Same,0.77,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001268,"Santa Rosa Memorial Hospital, Rehabilitation Unit",Sonoma,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.07,3774,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),150000050,Sonoma Developmental Center,Sonoma,General Acute Care Hospital,Community (<125 Beds),0,0,44,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),170001767,Fairview Developmental Center,Orange,General Acute Care Hospital,Community (<125 Beds),0,0.01,404,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),170001874,Porterville Developmental Center,Tulare,General Acute Care Hospital,Community (<125 Beds),0,0.01,636,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000002,California Pacific Medical Center - California West Campus Hospital,San Francisco,General Acute Care Hospital,Community (125-250 Beds),1,1.07,33854,0.94,0.05,4.62,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000003,Chinese Hospital,San Francisco,General Acute Care Hospital,Community (<125 Beds),0,0.12,6390,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000007,San Mateo Medical Center,San Mateo,General Acute Care Hospital,Community (<125 Beds),2,0.57,13181,3.49,0.42,12.6,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000008,"Kaiser Foundation Hospital, San Francisco",San Francisco,General Acute Care Hospital,Major Teaching,2,2.82,62791,0.71,0.12,2.35,Same,0.27,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000009,"Kaiser Foundation Hospital, South San Francisco",San Mateo,General Acute Care Hospital,Community (<125 Beds),0,0.7,22662,0,0,5.24,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000010,"Kaiser Foundation Hospital, Redwood City",San Mateo,General Acute Care Hospital,Community (125-250 Beds),1,1.38,29674,0.73,0.04,3.57,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000012,Laguna Honda Hospital & Rehabilitation Center,San Francisco,General Acute Care Hospital,Community (<125 Beds),0,0.01,194,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000012,"Laguna Honda Hospital & Rehabilitation Center, Rehabilitation Unit",San Francisco,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.01,740,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000017,Mills-Peninsula Medical Center,San Mateo,General Acute Care Hospital,Community (125-250 Beds),3,2.18,52189,1.38,0.35,3.74,Same,2.2,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000018,California Pacific Medical Center - St. Luke's Campus Hospital,San Francisco,General Acute Care Hospital,Community (125-250 Beds),1,0.73,18423,1.38,0.04,7.67,Same,3.63,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000019,Zuckerberg San Francisco General Hospital and Trauma Center,San Francisco,General Acute Care Hospital,Major Teaching,6,7.67,90565,0.78,0.32,1.63,Same,0.67,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000022,California Pacific Medical Center - Pacific Campus Hospital,San Francisco,General Acute Care Hospital,Community (>250 Beds),6,3.85,78442,1.56,0.63,3.24,Same,1.22,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000023,California Pacific Medical Center - Davies Campus Hospital,San Francisco,General Acute Care Hospital,Community (125-250 Beds),0,0.79,18700,0,0,4.69,Same,2.59,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000023,"California Pacific Medical Center - Davies Campus Hospital, Rehabilitation Unit",San Francisco,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.21,11097,0,0,17.48,Same,,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000025,Sequoia Hospital,San Mateo,General Acute Care Hospital,Community (125-250 Beds),0,0.87,25391,0,0,4.26,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000026,Seton Medical Center,San Mateo,General Acute Care Hospital,Community (<125 Beds),1,0.98,29852,1.02,0.03,5.68,Same,1.48,"¥ See Data Dictionary; * Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000029,Saint Francis Memorial Hospital,San Francisco,General Acute Care Hospital,Community (125-250 Beds),2,1.25,21576,1.6,0.27,5.3,Same,1.5,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000029,"Saint Francis Memorial Hospital, Rehabilitation Unit",San Francisco,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.1,5064,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000030,St. Mary's Medical Center,San Francisco,General Acute Care Hospital,Community (125-250 Beds),2,1.26,19334,1.58,0.27,5.23,Same,0,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000030,"St. Mary's Medical Center, Rehabilitation Unit",San Francisco,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.09,4871,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000031,UCSF Medical Center,San Francisco,General Acute Care Hospital,Major Teaching,14,20.93,226441,0.67,0.38,1.1,Same,0.5,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),220000716,Menlo Park Surgical Hospital,San Mateo,General Acute Care Hospital,Community (<125 Beds),0,0.01,283,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0,15,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000004,Eastern Plumas Hospital - Portola Campus,Plumas,Critical Access Hospital,Critical Access,0,0.02,1061,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000005,Feather River Hospital,Butte,General Acute Care Hospital,Community (<125 Beds),0,0.34,13721,0,0,10.8,Same,0,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000006,Glenn Medical Center,Glenn,Critical Access Hospital,Critical Access,0,0.03,1488,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008,Banner Lassen Medical Center,Lassen,Critical Access Hospital,Critical Access,0,0.09,4137,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000009,Mayers Memorial Hospital,Shasta,Critical Access Hospital,Critical Access,0,0.05,2363,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000010,Mercy Medical Center Redding,Shasta,General Acute Care Hospital,Community (>250 Beds),4,3.87,59133,1.03,0.33,2.49,Same,0.57,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000011,Modoc Medical Center,Modoc,Critical Access Hospital,Critical Access,0,0.01,526,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000012,Mercy Medical Center Mt. Shasta,Siskiyou,Critical Access Hospital,Critical Access,0,0.06,3062,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,Enloe Medical Center - Esplanade,Butte,General Acute Care Hospital,Community (>250 Beds),2,4.48,73437,0.45,0.08,1.48,Same,0.85,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Butte,General Acute Care Hospital,Community (125-250 Beds),1,1.75,42977,0.57,0.03,2.82,Same,1.15,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000015,Plumas District Hospital,Plumas,Critical Access Hospital,Critical Access,0,0.04,1904,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000016,Shasta Regional Medical Center,Shasta,General Acute Care Hospital,Community (125-250 Beds),5,2.2,31815,2.27,0.83,5.03,Same,1.09,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000017,Seneca District Hospital,Plumas,General Acute Care Hospital,Community (<125 Beds),0,0.01,622,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000019,Fairchild Medical Center,Siskiyou,Critical Access Hospital,Critical Access,0,0.1,4574,, , ,,,
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000020,St. Elizabeth Community Hospital,Tehama,General Acute Care Hospital,Community (<125 Beds),2,0.21,9831,9.44,1.14,34.09,Worse,,¥ See Data Dictionary
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000021,Surprise Valley Community Hospital,Modoc,Critical Access Hospital,Critical Access,, ,,, , ,,,"Incomplete Reporter, see Data Dictionary"
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000022,Trinity Hospital,Trinity,Critical Access Hospital,Critical Access,0,0.06,2690,, , ,,,
